"CDC_Ext_ID__c","CreatedById","CreatedDate","CurrencyIsoCode","Id","IsDeleted","LastActivityDate","LastModifiedById","LastModifiedDate","LastReferencedDate","LastViewedDate","Name","Num1__c","Num2__c","NumOpp1__c","NumOpp2__c","OwnerId","Pricing_Element__c","SystemModstamp","Text1__c","Text2__c","Text3__c","Text4__c","Text5__c","Text6__c","Text7__c","Text8__c","Text9__c","TextOpp1__c","TextOpp2__c","TextOpp3__c","TextOpp4__c","TextOpp5__c","TextOpp6__c","TextOpp7__c","TextOpp8__c","TextOpp9__c"
"","0050v000003a4XQAAY","2020-08-03T11:58:29.000Z","USD","a840v0000000Lp9AAE","false","","0050v000003iwNrAAI","2020-10-01T15:17:06.000Z","","","a5S8A0000009OWv","","","","","0050v000003a4XQAAY","PilotExhaustPipedtoDischargeHeader","2020-10-01T15:17:06.000Z","ASYTYP","PilotExhstPiped","","","","","","","","=","=ORDASH","","","","","","",""
"","0050v000003a4XQAAY","2020-08-03T11:58:29.000Z","USD","a840v0000000LpAAAU","false","","0050v000003iwNrAAI","2020-10-01T15:17:06.000Z","","","a5S8A0000009OXB","","","","","0050v000003a4XQAAY","VisualCastingExamination","2020-10-01T15:17:06.000Z","VISCASTEXAM","SZC","","","","","","","","=","=ORDASH","","","","","","",""
"","0050v000003a4XQAAY","2020-08-03T11:58:29.000Z","USD","a840v0000000LpBAAU","false","","0050v000003iwNrAAI","2020-10-01T15:17:06.000Z","","","a5S8A0000009OWr","","","","","0050v000003a4XQAAY","MaterialSourcingRequirements","2020-10-01T15:17:06.000Z","MATLSOURCE","","","","","","","","","=","","","","","","","",""
"","0050v000003a4XQAAY","2020-08-03T11:58:29.000Z","USD","a840v0000000LpCAAU","false","","0050v000003iwNrAAI","2020-10-01T15:17:06.000Z","","","a5S8A0000009OWp","","","","","0050v000003a4XQAAY","MagneticParticleExamination","2020-10-01T15:17:06.000Z","MAGPARTEXAM","SZC","","","","","","","","=","=ORDASH","","","","","","",""
"","0050v000003a4XQAAY","2020-08-03T11:58:29.000Z","USD","a840v0000000LpDAAU","false","","0050v000003iwNrAAI","2020-10-01T15:17:06.000Z","","","a5S8A0000009OXJ","","","","","0050v000003a4XQAAY","WeightSettingVacuum","2020-10-01T15:17:06.000Z","ValveSubModel","SZC","VacLoad","MCBODY","MCWGHT","","","","","=ORDASH","=ORDASH","=","=ORDASH","=ORDASH","","","",""
"","0050v000003a4XQAAY","2020-08-03T11:58:29.000Z","USD","a840v0000000LpEAAU","false","","0050v000003iwNrAAI","2020-10-01T15:17:06.000Z","","","a5S8A0000009OWd","","","","","0050v000003a4XQAAY","CharpyImpactTesting","2020-10-01T15:17:06.000Z","CHARPYIMPEXAM","","","","","","","","","=","","","","","","","",""
"","0050v000003a4XQAAY","2020-08-03T11:58:29.000Z","USD","a840v0000000LpFAAU","false","","0050v000003iwNrAAI","2020-10-01T15:17:06.000Z","","","a5S8A0000009OWj","","","","","0050v000003a4XQAAY","FiberglassFastener","2020-10-01T15:17:06.000Z","ValveSubModel","SZC","MCBODY","MCFAST","","","","","","=ORDASH","=ORDASH","=ORDASH","=","","","","",""
"","0050v000003a4XQAAY","2020-08-03T11:58:29.000Z","USD","a840v0000000LpGAAU","false","","0050v000003iwNrAAI","2020-10-01T15:17:06.000Z","","","a5S8A0000009OWh","","","","","0050v000003a4XQAAY","FAOptionOutlet","2020-10-01T15:17:06.000Z","FASubModel","SZC","GOUTOP","","","","","","","=","=ORDASH","=ORDASH","","","","","",""
"","0050v000003a4XQAAY","2020-08-03T11:58:29.000Z","USD","a840v0000000LpHAAU","false","","0050v000003b7GtAAI","2020-10-09T16:41:01.000Z","2020-10-08T12:18:53.000Z","2020-10-08T12:18:53.000Z","a5S8A0000009OXR","QTY","QTY","<",">=","0050v000003a4XQAAY","NACE","2020-10-09T16:41:01.000Z","NACE","","","","","","","","","=","","","","","","","",""
"","0050v000003a4XQAAY","2020-08-03T11:58:29.000Z","USD","a840v0000000LpIAAU","false","","0050v000003iwNrAAI","2020-10-01T15:17:06.000Z","","","a5S8A0000009OWf","","","","","0050v000003a4XQAAY","ERVHighPressureBody","2020-10-01T15:17:06.000Z","ASYTYP","ValveSubModel","SZC","MCBODY","BODYDESIGN","","","","","=","=ORDASH","=ORDASH","=ORDASH","=ORDASH","","","",""
